text,label
"Aku ingin tahu karir yang cocok buat aku nih, bisa bantu?",CAREER_EXPLORATION
Karir apa yang paling prospek di tahun ini?,CAREER_EXPLORATION
"Gw bingung mau pilih karir apa, ada rekomendasi?",CAREER_EXPLORATION
"Aku mau ganti pekerjaan, tapi bingung mau pindah ke bidang apa",CAREER_EXPLORATION
Apa karir yang paling sesuai dengan minatku?,CAREER_EXPLORATION
Gimana cara mengetahui karir yang tepat untukku?,CAREER_EXPLORATION
"Aku ingin eksplorasi karir di bidang teknologi, ada saran?",CAREER_EXPLORATION
Lu tahu karir apa yang paling dibutuhkan di dunia kerja sekarang?,CAREER_EXPLORATION
"Aku bosan dengan pekerjaan sekarang, butuh rekomendasi karir baru",CAREER_EXPLORATION
Apa yang perlu aku lakukan untuk mengembangkan karirku?,CAREER_EXPLORATION
Gw ingin tahu tentang prospek karir di bidang kesehatan,CAREER_EXPLORATION
Aku ingin mencari pekerjaan yang sesuai dengan passionku,CAREER_EXPLORATION
Karir apa yang paling menguntungkan di Indonesia saat ini?,CAREER_EXPLORATION
Aku butuh bantuan untuk menemukan karir yang cocok,CAREER_EXPLORATION
Gimana cara mengembangkan karir dengan cepat?,CAREER_EXPLORATION
Aku ingin tahu tentang karir di bidang seni,CAREER_EXPLORATION
Apa yang harus aku lakukan untuk sukses di karirku?,CAREER_EXPLORATION
Gw ingin mencari karir yang memiliki prospek bagus,CAREER_EXPLORATION
Aku ingin tahu tentang karir di bidang pendidikan,CAREER_EXPLORATION
Apa karir yang paling sesuai dengan kemampuanku?,CAREER_EXPLORATION
Gw ingin mengembangkan karir di bidang bisnis,CAREER_EXPLORATION
Aku ingin tahu tentang karir di bidang teknologi informasi,CAREER_EXPLORATION
Apa yang harus aku lakukan untuk meningkatkan karirku?,CAREER_EXPLORATION
Gw ingin mencari karir yang memiliki keamanan finansial,CAREER_EXPLORATION
Aku ingin tahu tentang karir di bidang pariwisata,CAREER_EXPLORATION
Apa karir yang paling sesuai dengan kepribadianku?,CAREER_EXPLORATION
Gw ingin mengembangkan karir di bidang kreatif,CAREER_EXPLORATION
Aku ingin tahu tentang karir di bidang lingkungan,CAREER_EXPLORATION
Apa yang perlu aku lakukan untuk mencapai tujuan karirku?,CAREER_EXPLORATION
Gw ingin mencari karir yang memiliki kesempatan untuk berkembang,CAREER_EXPLORATION
Aku ingin tahu tentang karir di bidang sains,CAREER_EXPLORATION
Apa karir yang paling sesuai dengan minat dan kemampuanku?,CAREER_EXPLORATION
Aku bingung mau pilih karir apa nih,CAREER_EXPLORATION
Gimana cara aku tahu karir yang cocok buat aku,CAREER_EXPLORATION
Aku ingin tahu tentang karir di bidang IT,CAREER_EXPLORATION
Karir apa yang paling prospek di masa depan,CAREER_EXPLORATION
"Aku ingin berkarir di bidang kesehatan, apa yang harus aku lakukan",CAREER_EXPLORATION
Bagaimana cara aku mengetahui karir yang sesuai dengan minat aku,CAREER_EXPLORATION
Aku ingin tahu tentang gaji dan tunjangan untuk beberapa karir,CAREER_EXPLORATION
Aku bingung mau ambil jurusan apa di kuliah nanti,CAREER_EXPLORATION
"Aku ingin berkarir di perusahaan besar, apa yang harus aku lakukan",CAREER_EXPLORATION
Karir apa yang paling dibutuhkan di dunia kerja saat ini,CAREER_EXPLORATION
Aku ingin tahu tentang cara mengembangkan karir aku,CAREER_EXPLORATION
Aku ingin mencari karir yang sesuai dengan passion aku,CAREER_EXPLORATION
Aku ingin tahu tentang beberapa karir yang mempunyai fleksibilitas waktu,CAREER_EXPLORATION
"Aku ingin berkarir di bidang seni, apa yang harus aku lakukan",CAREER_EXPLORATION
Aku ingin tahu tentang beberapa karir yang mempunyai kesempatan untuk bepergian,CAREER_EXPLORATION
Aku ingin mencari karir yang mempunyai kesempatan untuk berkembang,CAREER_EXPLORATION
Aku ingin tahu tentang beberapa karir yang mempunyai tingkat stres yang rendah,CAREER_EXPLORATION
"Aku ingin berkarir di bidang olahraga, apa yang harus aku lakukan",CAREER_EXPLORATION
Aku ingin tahu tentang beberapa karir yang mempunyai jam kerja yang fleksibel,CAREER_EXPLORATION
Aku ingin mencari karir yang sesuai dengan nilai aku,CAREER_EXPLORATION
Aku ingin tahu tentang beberapa karir yang mempunyai kesempatan untuk berinteraksi dengan orang banyak,CAREER_EXPLORATION
"Aku ingin berkarir di bidang pendidikan, apa yang harus aku lakukan",CAREER_EXPLORATION
Aku ingin tahu tentang beberapa karir yang mempunyai tingkat keamanan yang tinggi,CAREER_EXPLORATION
Aku ingin mencari karir yang mempunyai kesempatan untuk mengembangkan kreativitas,CAREER_EXPLORATION
Aku ingin tahu tentang beberapa karir yang mempunyai kesempatan untuk bekerja secara remote,CAREER_EXPLORATION
"Aku ingin berkarir di bidang teknologi, apa yang harus aku lakukan",CAREER_EXPLORATION
Aku ingin tahu tentang beberapa karir yang mempunyai kesempatan untuk mengembangkan kemampuan lider,CAREER_EXPLORATION
Aku ingin mencari karir yang sesuai dengan gaya hidup aku,CAREER_EXPLORATION
Aku ingin tahu tentang beberapa karir yang mempunyai kesempatan untuk mengembangkan kemampuan analitis,CAREER_EXPLORATION
"Aku ingin berkarir di bidang bisnis, apa yang harus aku lakukan",CAREER_EXPLORATION
Aku ingin tahu tentang beberapa karir yang mempunyai kesempatan untuk mengembangkan kemampuan komunikasi,CAREER_EXPLORATION
Aku ingin mencari karir yang mempunyai kesempatan untuk mengembangkan kemampuan problem solving,CAREER_EXPLORATION
C,CAREER_EXPLORATION
A,CAREER_EXPLORATION
R,CAREER_EXPLORATION
E,CAREER_EXPLORATION
E,CAREER_EXPLORATION
R,CAREER_EXPLORATION
_,CAREER_EXPLORATION
E,CAREER_EXPLORATION
X,CAREER_EXPLORATION
P,CAREER_EXPLORATION
L,CAREER_EXPLORATION
O,CAREER_EXPLORATION
R,CAREER_EXPLORATION
A,CAREER_EXPLORATION
T,CAREER_EXPLORATION
I,CAREER_EXPLORATION
O,CAREER_EXPLORATION
N,CAREER_EXPLORATION
Apa sih keahlian yang dibutuhkan untuk jadi data scientist?,SKILL_INQUIRY
"Gw pengen jadi developer, apakah harus bisa bahasa pemrograman apa saja?",SKILL_INQUIRY
"Lu tahu nggak, skill apa aja yang harus dimiliki buat menjadi seorang product manager?",SKILL_INQUIRY
"Nih, aku ingin tahu, keahlian apa yang paling dibutuhkan untuk menjadi seorang UX designer?",SKILL_INQUIRY
"Makasih, aku ingin bertanya, apa saja kompetensi yang harus dimiliki untuk menjadi seorang digital marketing specialist?",SKILL_INQUIRY
"Aku penasaran, apa skill yang dibutuhkan untuk menjadi seorang data analyst?",SKILL_INQUIRY
"Gw mau jadi software engineer, apakah harus memiliki keahlian khusus?",SKILL_INQUIRY
"Lu tahu nggak, apa saja keahlian yang dibutuhkan untuk menjadi seorang IT project manager?",SKILL_INQUIRY
"Nih, aku ingin tahu, keahlian apa yang paling dibutuhkan untuk menjadi seorang cybersecurity specialist?",SKILL_INQUIRY
"Makasih, aku ingin bertanya, apa saja kompetensi yang harus dimiliki untuk menjadi seorang artificial intelligence engineer?",SKILL_INQUIRY
"Aku ingin jadi front-end developer, apakah harus menguasai framework apa saja?",SKILL_INQUIRY
"Gw pengen jadi back-end developer, apakah harus bisa menggunakan bahasa pemrograman apa saja?",SKILL_INQUIRY
"Lu tahu nggak, skill apa aja yang harus dimiliki buat menjadi seorang full-stack developer?",SKILL_INQUIRY
"Nih, aku ingin tahu, keahlian apa yang paling dibutuhkan untuk menjadi seorang devops engineer?",SKILL_INQUIRY
"Makasih, aku ingin bertanya, apa saja kompetensi yang harus dimiliki untuk menjadi seorang cloud computing specialist?",SKILL_INQUIRY
"Aku penasaran, apa skill yang dibutuhkan untuk menjadi seorang database administrator?",SKILL_INQUIRY
"Gw mau jadi network administrator, apakah harus memiliki keahlian khusus?",SKILL_INQUIRY
"Lu tahu nggak, apa saja keahlian yang dibutuhkan untuk menjadi seorang help desk technician?",SKILL_INQUIRY
"Nih, aku ingin tahu, keahlian apa yang paling dibutuhkan untuk menjadi seorang technical support specialist?",SKILL_INQUIRY
"Makasih, aku ingin bertanya, apa saja kompetensi yang harus dimiliki untuk menjadi seorang technical writer?",SKILL_INQUIRY
"Aku ingin jadi instructional designer, apakah harus menguasai tool apa saja?",SKILL_INQUIRY
"Gw pengen jadi e-learning developer, apakah harus bisa menggunakan teknologi apa saja?",SKILL_INQUIRY
"Lu tahu nggak, skill apa aja yang harus dimiliki buat menjadi seorang learning management system administrator?",SKILL_INQUIRY
"Nih, aku ingin tahu, keahlian apa yang paling dibutuhkan untuk menjadi seorang training manager?",SKILL_INQUIRY
"Makasih, aku ingin bertanya, apa saja kompetensi yang harus dimiliki untuk menjadi seorang human resources generalist?",SKILL_INQUIRY
"Aku penasaran, apa skill yang dibutuhkan untuk menjadi seorang recruitment specialist?",SKILL_INQUIRY
"Gw mau jadi talent acquisition manager, apakah harus memiliki keahlian khusus?",SKILL_INQUIRY
"Lu tahu nggak, apa saja keahlian yang dibutuhkan untuk menjadi seorang compensation and benefits manager?",SKILL_INQUIRY
"Nih, aku ingin tahu, keahlian apa yang paling dibutuhkan untuk menjadi seorang HR business partner?",SKILL_INQUIRY
"Makasih, aku ingin bertanya, apa saja kompetensi yang harus dimiliki untuk menjadi seorang organizational development specialist?",SKILL_INQUIRY
"Aku ingin jadi management consultant, apakah harus menguasai metode apa saja?",SKILL_INQUIRY
"Gw pengen jadi strategy consultant, apakah harus bisa menganalisis data apa saja?",SKILL_INQUIRY
"Lu tahu nggak, skill apa aja yang harus dimiliki buat menjadi seorang operations manager?",SKILL_INQUIRY
"Nih, aku ingin tahu, keahlian apa yang paling dibutuhkan untuk menjadi seorang supply chain manager?",SKILL_INQUIRY
"Makasih, aku ingin bertanya, apa saja kompetensi yang harus dimiliki untuk menjadi seorang logistics manager?",SKILL_INQUIRY
Apa skill wajib untuk menjadi seorang data scientist?,SKILL_INQUIRY
"Gw ingin jadi backend developer, apa aja sih kemampuan yang harus gw kuasai?",SKILL_INQUIRY
Kompetensi apa aja yang dibutuhin buat jadi product manager?,SKILL_INQUIRY
"Aku pengen jadi UX designer, apa aja skill yang harus aku pelajari?",SKILL_INQUIRY
"Lu tahu nggak, skill apa yang paling dibutuhin buat jadi digital marketing specialist?",SKILL_INQUIRY
"Nih, gw pengen tahu, apa keahlian yang harus dimiliki seorang cybersecurity engineer?",SKILL_INQUIRY
"Makasih, aku mau tanya, apa aja kemampuan yang dibutuhkan buat jadi DevOps engineer?",SKILL_INQUIRY
"Gw penasaran, apa skill yang paling penting buat jadi machine learning engineer?",SKILL_INQUIRY
Apa aja sih skill yang harus aku kuasai buat jadi software engineer?,SKILL_INQUIRY
"Aku ingin jadi network administrator, apa aja kompetensi yang harus aku miliki?",SKILL_INQUIRY
"Lu tahu nggak, apa keahlian yang dibutuhkan buat jadi database administrator?",SKILL_INQUIRY
"Gw ingin tahu, apa aja skill yang harus dimiliki seorang web developer?",SKILL_INQUIRY
"Aku pengen jadi IT project manager, apa aja kemampuan yang harus aku kuasai?",SKILL_INQUIRY
"Nih, gw penasaran, apa aja kompetensi yang dibutuhkan buat jadi cloud computing engineer?",SKILL_INQUIRY
"Makasih, aku mau tanya, apa aja keahlian yang dibutuhkan buat jadi artificial intelligence engineer?",SKILL_INQUIRY
"Gw ingin jadi data analyst, apa aja skill yang harus gw kuasai?",SKILL_INQUIRY
"Aku pengen tahu, apa aja kemampuan yang dibutuhkan buat jadi business intelligence developer?",SKILL_INQUIRY
"Lu tahu nggak, apa aja kompetensi yang dibutuhkan buat jadi mobile app developer?",SKILL_INQUIRY
"Gw penasaran, apa skill yang paling penting buat jadi full stack developer?",SKILL_INQUIRY
"Aku ingin jadi QA engineer, apa aja keahlian yang harus aku miliki?",SKILL_INQUIRY
"Nih, gw ingin tahu, apa aja kemampuan yang dibutuhkan buat jadi technical writer?",SKILL_INQUIRY
"Makasih, aku mau tanya, apa aja skill yang dibutuhkan buat jadi IT consultant?",SKILL_INQUIRY
"Gw pengen jadi solutions architect, apa aja kompetensi yang harus aku kuasai?",SKILL_INQUIRY
"Aku penasaran, apa aja keahlian yang dibutuhkan buat jadi system administrator?",SKILL_INQUIRY
"Lu tahu nggak, apa aja kemampuan yang dibutuhkan buat jadi technical support specialist?",SKILL_INQUIRY
"Gw ingin tahu, apa aja skill yang harus dimiliki seorang automation engineer?",SKILL_INQUIRY
"Aku pengen jadi penetration tester, apa aja kompetensi yang harus aku miliki?",SKILL_INQUIRY
"Nih, gw penasaran, apa aja keahlian yang dibutuhkan buat jadi chief information security officer?",SKILL_INQUIRY
"Makasih, aku mau tanya, apa aja kemampuan yang dibutuhkan buat jadi chief technology officer?",SKILL_INQUIRY
Apa aja sih skill yang dibutuhkan buat jadi data scientist?,SKILL_INQUIRY
Gimana cara buat meningkatkan kemampuan di bidang marketing?,SKILL_INQUIRY
"Aku ingin jadi pengembang aplikasi, apa aja keahlian yang harus aku pelajari?",SKILL_INQUIRY
"Lu tahu nggak, kira-kira apa aja kompetensi yang dibutuhkan buat menjadi seorang manajer proyek?",SKILL_INQUIRY
"Buat jadi desainer grafis, aku harus punya skill apa aja nih?",SKILL_INQUIRY
Apa yang membuat seseorang sukses di bidang penjualan?,SKILL_INQUIRY
Kira-kira apa aja keahlian yang dibutuhkan buat jadi konsultan keuangan?,SKILL_INQUIRY
Gimana cara mengembangkan kemampuan komunikasi yang efektif di tempat kerja?,SKILL_INQUIRY
"Aku ingin tahu, apa aja skill yang dibutuhkan buat menjadi seorang analis keuangan?",SKILL_INQUIRY
"Untuk menjadi seorang insinyur, apa aja kompetensi yang harus dimiliki?",SKILL_INQUIRY
"Buat jadi enterpreneur, apa aja keahlian yang harus aku miliki?",SKILL_INQUIRY
"Aku ingin tahu, apa aja kemampuan yang dibutuhkan buat menjadi seorang pemimpin tim?",SKILL_INQUIRY
Gimana cara buat meningkatkan kemampuan di bidang teknologi informasi?,SKILL_INQUIRY
"Aku ingin jadi penulis konten, apa aja skill yang harus aku kuasai?",SKILL_INQUIRY
"Lu tahu nggak, kira-kira apa aja kompetensi yang dibutuhkan buat menjadi seorang HRD?",SKILL_INQUIRY
"Buat jadi fotografer, aku harus punya skill apa aja nih?",SKILL_INQUIRY
Apa yang membuat seseorang sukses di bidang kreatif?,SKILL_INQUIRY
Kira-kira apa aja keahlian yang dibutuhkan buat jadi konsultan manajemen?,SKILL_INQUIRY
Gimana cara mengembangkan kemampuan analisis data yang baik?,SKILL_INQUIRY
"Aku ingin tahu, apa aja skill yang dibutuhkan buat menjadi seorang ahli pemasaran digital?",SKILL_INQUIRY
"Untuk menjadi seorang peneliti, apa aja kompetensi yang harus dimiliki?",SKILL_INQUIRY
"Buat jadi pembicara publik, apa aja keahlian yang harus aku miliki?",SKILL_INQUIRY
"Aku ingin tahu, apa aja kemampuan yang dibutuhkan buat menjadi seorang pengembang bisnis?",SKILL_INQUIRY
Gimana cara buat meningkatkan kemampuan di bidang logistik?,SKILL_INQUIRY
"Aku ingin jadi ilustrator, apa aja skill yang harus aku kuasai?",SKILL_INQUIRY
"Lu tahu nggak, kira-kira apa aja kompetensi yang dibutuhkan buat menjadi seorang manajer operasional?",SKILL_INQUIRY
"Buat jadi editor video, aku harus punya skill apa aja nih?",SKILL_INQUIRY
Apa yang membuat seseorang sukses di bidang jurnalisme?,SKILL_INQUIRY
Kira-kira apa aja keahlian yang dibutuhkan buat jadi konsultan sumber daya manusia?,SKILL_INQUIRY
Gimana cara mengembangkan kemampuan pemecahan masalah yang efektif?,SKILL_INQUIRY
"Aku ingin tahu, apa aja skill yang dibutuhkan buat menjadi seorang spesialis keamanan siber?",SKILL_INQUIRY
"Untuk menjadi seorang arsitek, apa aja kompetensi yang harus dimiliki?",SKILL_INQUIRY
"Buat jadi desainer interior, apa aja keahlian yang harus aku miliki?",SKILL_INQUIRY
Aku butuh rekomendasi kursus online untuk belajar pemrograman web,RESOURCE_REQUEST
Gimana caranya aku bisa dapat rekomendasi modul belajar desain grafis?,RESOURCE_REQUEST
"Nih, aku lagi cari playlist YouTube tentang pengembangan diri, ada rekomendasi ga?",RESOURCE_REQUEST
"Aku ingin belajar bahasa Inggris, apa ada rekomendasi kursus online yang bagus?",RESOURCE_REQUEST
Lu tahu ga ada bahan belajar apa yang cocok untuk persiapan CPNS?,RESOURCE_REQUEST
"Makasih, aku butuh rekomendasi buku tentang manajemen waktu",RESOURCE_REQUEST
"Aku cari rekomendasi kursus online tentang digital marketing, ada yang tahu?",RESOURCE_REQUEST
Gw butuh rekomendasi modul belajar untuk meningkatkan kemampuan public speaking,RESOURCE_REQUEST
Aku ingin tahu rekomendasi playlist podcast tentang entrepreneurship,RESOURCE_REQUEST
Ada rekomendasi kursus online yang bagus untuk belajar analisis data ga?,RESOURCE_REQUEST
"Aku butuh bahan belajar tentang cybersecurity, apa yang kamu rekomendasikan?",RESOURCE_REQUEST
Gimana caranya aku bisa mendapatkan rekomendasi modul belajar tentang kewirausahaan?,RESOURCE_REQUEST
"Aku ingin belajar tentang artificial intelligence, ada rekomendasi kursus online yang bagus?",RESOURCE_REQUEST
"Nih, aku cari rekomendasi eBook tentang pengembangan diri, ada ga?",RESOURCE_REQUEST
Lu tahu ga ada rekomendasi kursus online tentang manajemen proyek?,RESOURCE_REQUEST
"Makasih, aku butuh rekomendasi kursus online tentang desain interior",RESOURCE_REQUEST
"Aku cari rekomendasi modul belajar tentang fotografi, ada yang tahu?",RESOURCE_REQUEST
Gw butuh rekomendasi kursus online tentang bisnis online,RESOURCE_REQUEST
Aku ingin tahu rekomendasi playlist YouTube tentang kesehatan mental,RESOURCE_REQUEST
Ada rekomendasi buku yang bagus untuk belajar tentang psikologi?,RESOURCE_REQUEST
Aku butuh rekomendasi kursus online tentang belajar bahasa Jepang,RESOURCE_REQUEST
Gimana caranya aku bisa mendapatkan rekomendasi modul belajar tentang akuntansi?,RESOURCE_REQUEST
"Aku ingin belajar tentang ilmu data, ada rekomendasi kursus online yang bagus?",RESOURCE_REQUEST
"Nih, aku cari rekomendasi podcast tentang teknologi, ada ga?",RESOURCE_REQUEST
Lu tahu ga ada rekomendasi kursus online tentang belajar bahasa Mandarin?,RESOURCE_REQUEST
"Makasih, aku butuh rekomendasi eBook tentang motivasi",RESOURCE_REQUEST
"Aku cari rekomendasi modul belajar tentang belajar bahasa Korea, ada yang tahu?",RESOURCE_REQUEST
Gw butuh rekomendasi kursus online tentang belajar bahasa Spanyol,RESOURCE_REQUEST
Aku ingin tahu rekomendasi playlist YouTube tentang belajar piano,RESOURCE_REQUEST
Ada rekomendasi kursus online yang bagus untuk belajar tentang belajar bahasa Perancis?,RESOURCE_REQUEST
Aku butuh rekomendasi buku tentang belajar bahasa Jerman,RESOURCE_REQUEST
Gimana caranya aku bisa mendapatkan rekomendasi modul belajar tentang belajar bahasa Italia?,RESOURCE_REQUEST
"Aku ingin belajar tentang belajar bahasa Rusia, ada rekomendasi kursus online yang bagus?",RESOURCE_REQUEST
"Aku butuh rekomendasi kursus online untuk meningkatkan kemampuan bahasa Inggris, apa ada saran?",RESOURCE_REQUEST
"Nih, gw cari modul belajar desain grafis yang bagus, bisa kasih referensi?",RESOURCE_REQUEST
"Mau tanya, ada gak playlist YouTube yang bagus untuk belajar programming?",RESOURCE_REQUEST
"Butuh bantuan, cari kursus online yang bagus untuk belajar digital marketing",RESOURCE_REQUEST
"Kak, aku mau belajar Public Speaking, ada rekomendasi kursus yang bagus gak?",RESOURCE_REQUEST
Gimana caranya agar aku bisa mendapatkan rekomendasi modul belajar yang tepat?,RESOURCE_REQUEST
Apa ada rekomendasi bahan belajar untuk mempersiapkan diri menghadapi psikotes?,RESOURCE_REQUEST
